Filename	Title	Source
"Trachtenberg_BR_19610925"	"Unknown Sender to Schuckburgh re: Reston Sept. 24 1961 New York Times article "	"n/a"
"Trachtenberg_BR_19610926"	"From Confidential Annex to C.O.S. (61) 64th Meeting, September 26, 1961 (part)"	"n/a"
"Trachtenberg_BR_19610927"	"From Confidential Annex to C.O.S. (61) 65th Meeting, September 27, 1961 (part)"	"n/a"
"Trachtenberg_BR_19610928"	"Record of Conversation Rusk and Gromyko (part), not dated"	"n/a"
"Trachtenberg_BR_19611004"	"Annex to COS(61) 368, Berlin Contingency Planning"	"n/a"
"Trachtenberg_BR_19611007"	"Steel Letter to Shuckburgh, October 7, 1961"	"n/a"
"Trachtenberg_BR_19611009"	"Telegram from Paris to Foreign Office, October 9, 1961"	"n/a"
"Trachtenberg_BR_19611014"	"Telegram from Washington to Foreign Office, October 13, 1961"	"n/a"
"Trachtenberg_BR_19611018"	"Sir E. Shuckburgh's Visit to Bonn and Paris, October 18, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611020"	"Thomson Letter to Killick, October 20, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611101"	"Telegram from Washington to Foreign Office (part)"	"Public Record Office, London"
"Trachtenberg_BR_19611106"	"Thomson Letter to Killick, November 6, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611109"	"Record of a Meeting between Monsieur Couve de Murville and the Lord Privy Seal, November 9, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611123"	"Kennedy Letter to the Prime Minister"	"Public Record Office, London"
"Trachtenberg_BR_19611124"	"Berlin: U.S.-German Talks, Thomson, November 24, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611125"	"Telegram from Washington to Foreign Office, November 24, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611127"	"Telegram from Washington to Foreign Office, November 27, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611210"	"Record of Conversation between the Secretary of State and Mr. Dean Rusk at Dinner, December 10, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611211"	"Record of a Restricted Meeting Between the Rt.Hon. Harold Watkinson, M.P., United Kingdom Minister of Defence, and the Hon. Robert McNamara, United States Secretary of Defense, December 11, 1961"	"Public Record Office, London"
"Trachtenberg_BR_19611212"	"De Gaulle Personal Telegram to Macmillan, December 12, 1961 (part, in French)"	"n/a"
"Trachtenberg_BR_19611219"	"Notes to Macmillan re: Bermuda meeting with Kennedy (part), not dated"	"Public Record Office, London"
"Trachtenberg_BR_19611221"	"Record of a Meeting Held in Government House, Bermuda, December 21,1961"	"Public Record Office, London"
"Trachtenberg_BR_19611222"	"Record of a Meeting Held in Government House, Bermuda, December 22,1961"	"Public Record Office, London"
